문제번호,과목,문제,보기1,보기2,보기3,보기4,정답,해설,문제이미지,문제이미지너비,보기1이미지,보기1이미지너비,보기2이미지,보기2이미지너비,보기3이미지,보기3이미지너비,보기4이미지,보기4이미지너비,해설이미지,해설이미지너비
11,교통법규,다음 중 교통안전관리자 시험부정행위자에 대한 제재로서 시험이 정리되거나 무효로 된 사람은 그 처분이 있는 날로부터 몇 년간 응시 할 수 없는가?,1년,2년,3년,4년,2,"「교통안전법 시행령」 제53조제3항제4호에 따르면, 교통안전관리자 자격의 취소처분을 받은 사람은 그 처분이 있는 날로부터 2년이 지나지 아니하면 교통안전관리자가 될 수 없습니다.",,,,,,,,,,,,
12,교통법규,자동차소유자 또는 자동차소유자로부터 자동차의 관리를 위탁받은 자를 무엇이라 하는가?,자동차 매매자,자동차 소유자,자동차 사용자,자동차 관리자,3,자동차 사용자 - 소유자 또는 소유자로부터 차의 관리에 관한 위탁을 받은 사람을 말한다.,,,,,,,,,,,,
13,교통법규,자동차 정책 기본계획에 포함되어야 할 사항과 거리가 먼 것은? ,"자동차 안전기준 등의 연구개발,기반조성 및 국제조화에 관한 사항",자동차 운행제한에 관한 사항,자동차 관련제도 및 소비자 보호에 관한 사항,자동차 관련 기술발전 전망과 자동차안전 및 관리정책의 추진방향,2,"「자동차관리법」에 따른 자동차 정책 기본계획에는 자동차 안전기준 연구개발 및 국제조화, 자동차 관리제도 및 소비자 보호, 자동차 관련 기술발전 전망과 안전 및 관리정책 추진방향 등이 포함됩니다. 하지만 자동차 운행제한에 관한 사항은 기본계획에 명시적으로 포함되어야 하는 항목이 아닙니다.",,,,,,,,,,,,
14,교통법규,제작연도에 등록된 자동차의 차령기산일로 다음중 가장 적합한 것은?,자동차 성능 검사일,차종차 출로일,제작연도의 말일,최초의 신규등록일,4,"「자동차관리법 시행규칙」 제74조제2항에 따르면, 자동차 검사의 유효기간을 계산하는 기준일로 신규등록을 하는 자동차의 경우 신규등록일부터 기산한다고 명시되어 있습니다. ",,,,,,,,,,,,
15,교통법규,임시운행허가는 대통령령이 정하는 바에 의하여 누구에게 임시운행허가를 받아야 하는가? ,"국토교통부장관 또는 시,도지사",한국교통 안전공단,경찰청장,관할 구청장,1,"「자동차관리법」 제27조제1항에 따르면, 자동차를 일시 운행하려는 자는 국토교통부장관의 임시운행허가를 받아야 합니다. 또한, 같은 법 제77조에서는 국토교통부장관이 해당 법에 따른 권한의 일부를 대통령령으로 정하는 바에 따라 시ㆍ도지사에게 위임할 수 있다고 명시.",,,,,,,,,,,,
16,교통법규,"다음 중 2년 이하의 징역 또는 2,000만원 이하의 벌금에 처하는 경우가 아닌 자는? ",자동차에서 장치를 무단으로 해체한 자,자동차관리사업자 등의 금지행위를 한 자동차 관리사업자,자동차의 주행거리를 변경한 자,자기명의로 이전등록을 하지 아니하고 다시 제3자에게 양도한자,3,자동차의 주행거리를 변경한자는 3년 이하의 징역 또는 3천만원 이하의 벌금.,,,,,,,,,,,,
17,교통법규,자동차 제작자 등은 자기인증을 하여 판매한 자동차의 원활한 정비를 위하여 몇 년 이상 부품을 공급해야 하는가? ,최종판매한 날부터 3년 이상,최종판매한 날부터 5년 이상,최종판매한 날부터 8년 이상,최종판매한 날부터 10년 이상,3,"「자동차관리법 시행규칙」 제49조의3(무상수리기간 및 부품의 공급기간 등) 제2항에 따르면, 자동차제작자 등은 자기인증을 하여 판매한 자동차의 원활한 정비를 위하여 동일한 형식의 자동차를 최종 판매한 날부터 8년 이상 정비에 필요한 부품을 공급해야 한다고 명시되어 있습니다",,,,,,,,,,,,
18,교통법규,다음 중 ‘자동차관리법’ 상 자동차의 운행제한 사유에 해당되지 않는 것은?,"전시,사변 또는 이에 준하는 비상사태의 대처",교통사고의 발생이 빈번한 곳에서의 운행의 경우,대기오염 방지나 그 밖에 대통령령으로 정하는 사유,극심한 교통체증 지역의 발생 예방 또는 해소,2,"‘자동차관리법’에 따르면, 국토교통부장관은 특정 사유가 발생할 경우 자동차의 운행을 제한할 수 있습니다. 해당 사유는 다음과 같습니다:
? 전시ㆍ사변 또는 이에 준하는 비상사태에 대처하기 위한 경우
? 지역 간의 교통수요 불균형 또는 극심한 교통체증의 발생 예방이나 해소를 위한 경우
? 대기오염 방지나 그 밖에 대통령령으로 정하는 사유
",,,,,,,,,,,,
19,교통법규,"‘자동차관리법’상 자동차 제작자등 및 부품 제작자등이 국가간 상호인증등을 위하여 자동차에 사용되는 부품 또는 장치의 인증을 신청하는 경우, 국토교통부 장관이 시행하는 성능시험에 해당되진 않은 것은? ",안전시험,부품자기 인증시험,상호인증시험,부품인증시첨,2,"부품자기 인증시험은 「자동차관리법」에 따라 자동차 제작자 등이 스스로 자동차 또는 부품이 안전기준에 적합함을 증명하는 것을 의미한다 [자동차관리법 제2조제1호의2]. 자기인증 과정에서 시험이 진행되지만, 이는 제작자 스스로가 실시하는 시험이며 국토교통부장관이 직접 시행하는 성능시험에는 해당하지 않는다. 국토교통부장관은 자기인증에 대한 사후 관리나 확인 절차를 가질 수 있지만, 시험 자체를 직접 시행하는 주체는 아니다.",,,,,,,,,,,,
20,교통법규,자동차 소유자는 해당 자동차에 대하여 국토교통부장관이 실시하는 검사를 받으려고 한다.해당 사항이 아닌 것은? ,정기검사,적성검사,튜닝검사,신규검사,2,"적성검사'는 자동차 자체가 아닌 운전자의 운전면허 갱신 및 유지와 관련된 검사이다. 이는 「도로교통법」에 따른 규정으로, 운전자의 시력, 청력 등 신체적성 및 운전 능력에 대한 평가이며, 자동차의 상태나 구조에 대한 검사가 아니다.",,,,,,,,,,,,
21,교통법규,다음중 자동차의 장치에 해당하지 않는 것은?,주행장치,차체 및 차대,후사경,후부반사판,4,"후부반사판은 ‘자동차관리법’상 자동차의 장치에 해당하지 않고, 자동차 부품에 해당한다.",,,,,,,,,,,,
22,교통법규,다음 중 ‘자동차관리법’상 자동차관리사업을 하려는 자가 등록하여야 하는 기관은? ,국무총리,국토교통부 장관,"시, 도지사","시장, 군수, 구청장",4,자동차 관리법 제53조(자동차관리사업의 등록 등) ① 자동차관리사업을 하려는 자는 국토교통부령으로 정하는 바에 따라 시장ㆍ군수ㆍ구청장에게 등록하여야 한다.,,,,,,,,,,,,
23,교통법규,도로교통법의 목적을 가장 올바르게 설명한 것은?,교통법규 위반자 및 사고 야기자를 처벌하고 교육하는 데 있다.,교통사고로 인한 신속한 피해복구와 편익을 증진하는 데 있다.,도로를 관리하고 안전한 통행을 확보하는 데 있다.,도로교통상의 위험과 장해를 제거하여 안전하고 원활한 교통을 확보함을 목적으로 한다.,4,‘도로교통법’의 목적은 도로교통상의 위험과 장해를 제거하여 안전하고 원활한 교통을 확보하는 것이다.,,,,,,,,,,,,
24,교통법규,다음의 일방통행표지는 어디에 해당되는가?,보조표시,지시표시,규제표시,주의표지,2,"지시표지 중 일방통행표지의 기호부분은 청색바탕에 백색기호로, 문자부분은 백색바탕에 흑색문자로 한다.",images/exams/traffic-safety/road/round-01/questions/q024.jpg,,,,,,,,,,,
25,교통법규,서울특별시장이 버스의 원활한 소통을 위하여 특히 필요한 때에는 누구와 협의하여 도로에 버스전용 차로를 설치할 수 있는가?,파출소장,구청장,국토교통부장관,"시,도경찰청장",4,도로교통법 제15조(전용차로의 설치) ① 시장등은 원활한 교통을 확보하기 위하여 특히 필요한 경우에는 시ㆍ도경찰청장이나 경찰서장과 협의하여 도로에 전용차로(차의 종류나 승차 인원에 따라 지정된 차만 통행할 수 있는 차로를 말한다. 이하 같다)를 설치할 수 있다.,,,,,,,,,,,,
26,교통법규,야간에 도로를 통행하는 때에 켜야 하는 등화가 아니 것은?,견인되는 차의 실내등,원동기 장치자전거의 미등,자동차의 차폭등,자동차의 전조등,1,"견인되는 차의 등화로는 미등, 차폭등, 번호등",,,,,,,,,,,,
27,교통법규,다음 위반사항 중 그 벌점이 30점에 해당되는 것은?,일반도로 전용차선 통행위반,제한속도위반 20 km/h 초과 40 km/h 이하,운전면허증 제시의무위반,단속경찰공무원 등에 대한 폭행으로 형사입건된 때,3,도로교통법 시행규칙 별표 28 운전면허증 등의 제시의무위반 또는 운전자 신원확인을 위한 경찰공무원의 질문에 불응 시 벌점 30점 처분,,,,,,,,,,,,
28,교통법규,차로의 설치에 대한 다음 설명 중 틀린 것은?,보도와 차도의 구분이 없는 도로에 차로를 설치하는 때에는 그 도로의 양쪽에 보행자의 통행의 안전을 위하여 길 가장자리구역을 설치하여야 한다.,"차로는 횡단보도, 교차로 및 철길건널목의 부분에는 설치하지 못한다.",모든 차로의 너비는 3m 이상으로 하여야 한다.,도로에 차로를 설치하고자 하는 때에는 노면표시를 하여야 한다.,3,"도로교통법 시행규칙 제15조 2항 차로의 너비는 3미터 이상으로 하여야 한다. 다만, 좌회전전용차로의 설치 등 부득이하다고 인정되는 때에는 275센티미터 이상으로 할 수 있다.

",,,,,,,,,,,,
29,교통법규,다음 중 운행상의 안전기준이 잘못된 것은? ,화물자동차의 적재높이는 적재 장치 로부터 3m를 넘지 아니할 것  ,화물자동차의 적재중량은 구조 및 성능에 따르는 적재중량의 110% 이내 일 것,화물자동차의 적재 길이는 자동차 길이의 10분의 1의 길이를 더한 길이를 넘지 아니할 것,자동차는 고속도로에서는 승차정원을 넘어서 운행하지 아니할 것,1,"「도로교통법 시행령」 제22조(운행상의 안전기준)에 따르면, 화물자동차의 적재 높이는 지상으로부터 4미터를 넘지 않아야 합니다. 소형 삼륜자동차는 지상으로부터 2.5미터, 이륜자동차는 지상으로부터 2미터입니다",,,,,,,,,,,,
30,교통법규,다음 중 도로교통법상 도로의 요인으로 가장 부적합 것은?,폐쇄성,이용성,공개성,형태성,1,"도로의 본질적인 기능은 통행과 소통을 가능하게 하는 것이므로, '폐쇄성'은 도로의 요인으로 가장 부적합합니다. ",,,,,,,,,,,,
31,교통법규,도로교통법상 자동차전용도로에서의 최고속도와 최저속도를 바르게 나열한 것은?,"최고속도 (80 km) , 최저속도 (30 km)","최고속도 (90 km), 최저속도 (30 km)","최고속도 (100 km), 최저속도 (50 km)","최고속도 (110 km), 최저속도 (50 km)",2,"자동차전용도로에서의 최고속도는 매시 90킬로미터, 최저속도는 매시 30킬로미터",,,,,,,,,,,,
32,교통법규,어린이 통학버스 운영자와 운전자의 의무사항으로 옳지 않은 것은?,신고증명서를 받아 차량 내에 비치하지 않고 보관하여도 된다.,어린이 또는 유아를 통학버스에 태운 경우는 어린이 등을 보호할 수 있는 교사 등을 탑승시켜야 한다.,어린이 또는 유아를 태우고 있다는 점멸 등 작동 표시를 해야 한다.,어린이 또는 유아가 타고 내릴 때는 안전한 장소에 도착한 것을 확인후 출발해야 한다.,1,도로교통법」 제52조에 따라 관할 경찰서장에게 신고하고 신고증명서를 교부받아야 합니다. 해당 신고증명서(정식 명칭은 '어린이통학버스 신고필증' 또는 '신고증명서')는 차량 내에 비치하여야 하는 것이 일반적인 의무사항.,,,,,,,,,,,,
33,교통법규,다음 중 도로교통법 상의 ‘어린이’에 대한 설명으로 맞는 것은?,6세 이하,취학전 아동,13세 미만,18새 미만,3,"도로교통법 제1조 23항, 어린이란 13세 미만인 사람을 말한다.",,,,,,,,,,,,
34,교통법규,교통사고 사망자는 교통사고가 원인이 되어 몇 시간 이내에 사망하는 것을 말하는가?,7일,15일,30일,60일,3,도로교통사고사망자는 도로의 차량 교통에 의한 사고로 인해 사고발생 30일 이내에 사망한 경우를 말함(1999년까지는 72시간 이내 사망).,,,,,,,,,,,,
35,교통법규,교통안전 체험에 관한 내용으로 틀린 것은?,교통안전 관련 법률의 습득,상황별 안전운전 실습,비상상황에 대한 대처능력 향상을 위한 실습 및 교정,교통사고에 관한 모의실험,1, 교통안전체험연구ㆍ교육시설의 코스 종류 및 용도는 실질적인 운전 상황을 체험하고 안전 운전 요령을 습득하는 데 초점을 맞추고 있다.,,,,,,,,,,,,
36,교통법규,교통행정기관이 교통수단 안전점검을 위해 교통사업자의 사업장을 출입할 경우 검사계획의 사전통지 기간은?,"출입, 검사 3일 전","출입, 검사 5일 전","출입, 검사 7일 전","출입, 검사 10일 전",3,"교통안전법 제33조 4항에 따르면, 사업장을 출입하여 검사하려는 경우에는 출입ㆍ검사 7일 전까지 검사일시ㆍ검사이유 및 검사내용 등을 포함한 검사계획을 교통수단운영자에게 통지.",,,,,,,,,,,,
37,교통법규, 교통행정기관이 운행기록장치 장착의무자와 차량운전자에게 분석별과를 토대로 가능한 조치에 해당하지 않는 것은?,교통수단 안전진단의 실시,속도제한장치 무단해제 확인,교통수단 운영체계의 개선 권고,교통수단 안전점검의 실시,1,"교통수단은 안전점검, 교통시설은 안전진단이라고 칭한다.",,,,,,,,,,,,
38,교통법규,다음 중 교통안전법상의 ‘지정행정기관’에 해당되지 않는 것은?,경찰청,국토교통부,행정안전부,국회(입법부),4,,,,,,,,,,,,,
39,교통법규,"시,도지사는 국가교통안전 기본계획에 따라 시,도의 교통안전에 관한 기본계획을 몇 년 단위로 수립하여야 하는가?",1년 마다,3년 마다,5년 마다,10년 마다,3,,,,,,,,,,,,,
40,교통법규,교통사고 관련 자료를 보관해야 하는 관리자가 아닌 것은?,손해보험협회에 소속된 손해보험 회사,한국도로공사,교통안전 관리자,한국교통 안전공단,3,,,,,,,,,,,,,
41,교통법규,다음 중 교통안전법상 국가나 지자체의 의무가 아닌 것은?,교통안전사항의 배려의무,안전운행 의무,관할구역 내의 교통안전시책의 수립 · 시행의무,교통안전 종합시책의 수립 · 시행의무,2,,,,,,,,,,,,,
42,교통법규,"자동차의 형식이란 자동차의 구조와 장치에 관한 형상, 규격 및 (      ) 등을 말한다. (     )에 들어갈 말은?",성능,동력,차체,튜닝,1,,,,,,,,,,,,,
43,교통법규,자동차 관리법상 변경등록을 하여야 하는 경우가 아닌 것은?,소유권의 변동시,자동차의 사용본거지 변경시,차대번호 또는 원동기 형식의 변경시,차동차 소유자의 성명 변경시,1,,,,,,,,,,,,,
44,교통법규,다음 중 강제처리 대상이 되는 자동차에 해당되는 것은?,정당한 사유없이 타인의 토지에 대통령령으로 정하는 기간 이상 방치한 자동차,임의 구조변경이나 개조된 자동차,대형사고를 일으킨 자동차,공장이나 작업장에서 작업용으로 사용하는 자동차,1,,,,,,,,,,,,,
45,교통법규,자동차관리법상 자동차를 무단으로 해체할 수 있는 경우가 아닌 것은?,"자동차의 점검, 정비 또는 튜닝을 하려는 경우",폐차하는 경우,자동차를 매매하는 경우,"교육, 연구의 목적으로 사용하는 등 국토교통부령으로 정하는 사유에 해당하는 경우",3,,,,,,,,,,,,,
46,교통법규,다음 중에서 자동차의 종류를 구분하는 세부기준으로 볼 수 없는 것은?,연료,정격출력,총배기량,"자동차의 크기, 구조",1,,,,,,,,,,,,,
47,교통법규,다음 중 ‘자동차관리법’상 자동차의 운행 제한을 명할 수 있는 자는?,국토교통부 장관,법무부 장관,교통안전공단 이사장,국무총리,1,,,,,,,,,,,,,
48,교통법규,다음 중 정차가 금지되는 곳이 아닌 것은?,안전지대의 사방으로부터 각각 10m 이내의 곳,교차로의 가장자리로부터 5m 이내의 곳,소방용 방화물통으로부터 10m 이내의 곳,"교차로, 횡단보도 또는 건널목",3,,,,,,,,,,,,,
49,교통법규,횡단보도 설치에 관한 설명 중 맞는 것은?,다른 횡단보도로부터 500m 이내에는 설치할 수 없다.,교차로로부터 400m 이내에는 설치 할 수 없다.,육교로부터 200m 이내에는 설치할 수 없다.,지하도로부터 300m 이내에는 설치 할 수 없다.,3,,,,,,,,,,,,,
50,교통법규,다음 중 범칙금 납부통고서로 범칙금을 낼 것을 통고 할 수 있는 사람은?,국토교통부 장관,시 도지사,관할 구청장,경찰서장,4,,,,,,,,,,,,,
51,교통안전관리론,인간행동에 영향을 주는 요인과 내용에 대한 연결이 옳지 못한 것은?,"내적요인(소질): 지능지각(운동기능), 성격, 태도","내적요인(심신상태): 피로, 질병, 알코올, 약물","외적요인(인간관계): 근로시간, 교대제, 속도",외적요인(물리적 조건): 교통공간 배치 ,3,"인간행동에 영향을 주는 요인은 내적요인과 외적요인으로 나뉜다.

내적요인: 개인의 소질(지능, 성격, 태도), 심신상태(피로, 질병, 알코올, 약물) 등이 포함된다.
외적요인: 물리적 환경(교통공간 배치), 사회적 관계 등이 영향을 미친다.
3번 보기에 제시된 ""외적요인(인간관계): 근로시간, 교대제, 속도""는 인간관계보다 작업 환경과 관련된 요소이므로 적절한 분류가 아니다. 따라서 3번이 옳지 않은 연결이며 정답이다.",,,,,,,,,,,,
52,교통안전관리론,다음 중 산업재해 예방과 관련한 ‘하인리히 법칙(Heinrich’s law)’에 대한 설명으로 잘못된 것은?,하인리히 법칙은 한번의 큰 재해가 있기 전에 그와 관련된 작은 사고나 징후들이 먼저 일어난다는 법칙이다.,"하인리히는 이 조사 결과를 바탕으로 큰 재해는 우연히 발생하는 것이며, 반드시 그 전에 사소한 사고 등의 징후가 있는 것은 아니라는 것을 실정적으로 밝혀내었다."," 하인리히 법칙은 산업 재해 예방을 포함해 각종 사고나 사회적, 경제적 위기등을 설명하기 위해 의미를 확장해 해석하는 경우도 있다.","큰 재해와 작은 재해, 사소한 사고의 발생 비율이 1: 29: 300이라는 점에서 ‘1:29:300법칙’으로 부르기도 한다.",2,"하인리히 법칙(Heinrich’s law)은 큰 재해(1건) 가 발생하기 전에 작은 사고(29건) 와 사소한 징후(300건) 가 먼저 나타난다는 개념을 설명하는 법칙이다.

1번 보기는 하인리히 법칙의 핵심 개념으로, 올바른 설명이다.
2번 보기는 틀린 설명이다. 하인리히는 큰 재해가 발생하기 전에 반드시 그 징후(경미한 사고나 위험 신호)가 나타난다고 주장했으며, 이는 우연이 아니라 패턴으로 분석할 수 있다는 점을 강조한 이론이다.
3번 보기는 맞는 설명이다. 하인리히 법칙은 산업재해뿐만 아니라 다양한 사고 예방과 리스크 관리에도 적용된다.
4번 보기는 일부 맞지만, 하인리히 법칙이 직접적으로 근로자가 사고를 피할 수 있는 방법을 제시하는 것은 아니다. 대신 사고의 발생 패턴을 분석하여 예방의 필요성을 강조하는 이론이다.",,,,,,,,,,,,
53,교통안전관리론,운전자가 정보를 수집하고 행동을 결정하며 실행 후 확인 하는 것을  무엇이라 하는가?,행동반응,교통반응,상황반응,인지반응,2,"운전자의 행동 과정은 정보 수집 → 판단 → 행동 → 확인의 순서로 이루어진다.
이 과정은 도로 교통 환경에서 운전자가 끊임없이 정보를 받아들이고, 이를 토대로 적절한 결정을 내린 후 실행하는 것을 의미한다.

각 용어의 의미를 살펴보면:

행동반응: 일반적인 반응을 의미하며, 특정하게 운전과 관련된 과정이라고 보기 어렵다.
교통반응: 운전자가 교통 상황에서 정보를 수집하고 행동을 결정하며, 실행 후 확인하는 일련의 과정을 의미한다.
상황반응: 특정한 상황에 대한 반응을 의미하지만, 운전자의 연속적인 정보 처리 과정과는 다소 거리가 있다.
인지반응: 운전자가 정보를 받아들이는 과정에 해당하지만, 이후 행동 결정과 실행까지 포함하는 개념은 아니다.
따라서, 운전자가 정보를 수집하고 행동을 결정하며 실행 후 확인하는 과정은 ""교통반응""이므로 정답은 2번이다.",,,,,,,,,,,,
54,교통안전관리론,교통안전관리의 목표로 제일 적합한 것은 어느 것인가?,국민복지 증진을 위한 교통안전의 확보,복지사회의 실현,주택보급의 확대,생산성의 향상,1,"교통안전관리의 궁극적인 목표는 사람들의 생명과 재산을 보호하고, 안전한 교통 환경을 조성하는 것이다. 이를 통해 교통사고를 예방하고, 교통체계를 효율적으로 운영하여 국민의 삶의 질을 향상시키는 것이 핵심이다.

각 선택지를 분석하면:

1번 (정답): 교통안전의 확보는 국민 복지를 증진시키는 중요한 요소이며, 교통안전관리의 핵심 목표에 부합한다.
2번: 복지사회 실현은 중요한 개념이지만, 교통안전관리의 직접적인 목표라고 보기에는 부족하다.
3번: 주택보급 확대는 사회적·경제적 발전과 관련된 목표이지만, 교통안전과 직접적인 연관은 적다.
4번: 생산성 향상은 기업 및 경제 발전과 관련이 있으나, 교통안전관리의 주된 목표로 보기 어렵다.",,,,,,,,,,,,
55,교통안전관리론,다음중 사고다발자의 일반적인 특성으로 볼 수 없는 것은?,자극에 민감하고 흥분을 잘한다.,개방적이어서 인간관계에 있어서 협조적 태도를 보인다.,정서적으로 충동적이다.,충동을 제어하지 못한다.,2,"사고다발자는 일반적으로 다음과 같은 성향을 보인다.

자극에 민감하고 흥분을 잘하는 경향이 있다.
정서적으로 충동적이며, 감정을 조절하는 능력이 부족할 수 있다.
충동을 제어하지 못하고 순간적인 감정에 의해 위험한 행동을 할 가능성이 높다.",,,,,,,,,,,,
